name,imgUrl,price,orderNumber,detail,instructions,expandableName,expandableOrder,expandablePrice
Sichel-Mulchmäher - Anbau nur an Maschinen mit B&S-Motor möglich!,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Sichelmulcher.png,395,2569-1,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675 EXi Series Hubraum: 163 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,5 / RG 1,3 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,3 / RG 2,5 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Sichelmulcher.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Sichelmulcher-Bedienungsanleitung.pdf,,,
"M220 (P55) - Grundmaschine Briggs & Stratton 675iS Series InStart, 163 ccm - Scheibenmäher - Anbau nur an Maschinen mit B&S-Motor möglich!",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Scheibenmaehwerk.png,1279,2200-50-IN,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675iS Series InStart Hubraum: 163 ccm Starter: Elektrostarter (Lithium-Ionen-Akku) Akku: 10,8 V / 1,45 Ah Batterieladegerät: Inkl. 12,45 V / 2 A Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,2 / RG 1,1 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,1 / RG 2,2 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Scheibenmaeher.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Scheibenmaeher-Bedienungsanleitung.pdf,Scheibenmäher - Anbau nur an Maschinen mit B&S-Motor möglich!,2575-1,669
"M220 (P55) - Grundmaschine Briggs & Stratton 675EXi Series, 163 ccm - Sichel-Mulchmäher - Anbau nur an Maschinen mit B&S-Motor möglich!",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Sichelmulcher.png,1090,2200-50,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675 EXi Series Hubraum: 163 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,5 / RG 1,3 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,3 / RG 2,5 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Sichelmulcher.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Sichelmulcher-Bedienungsanleitung.pdf,Sichel-Mulchmäher - Anbau nur an Maschinen mit B&S-Motor möglich!,2569-1,395
"M220 (P55) - Grundmaschine HONDA GCV 170, 170 ccm - Scheibenmäher - Anbau nur an Maschinen mit B&S-Motor möglich!",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Scheibenmaehwerk.png,1190,2200-90,"Motor: Honda 1 Zylinder 4-Takt OHC Motorentyp: GCV 170 Hubraum: 170 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,2 / RG 1,1 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,1 / RG 2,2 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Scheibenmaeher.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Scheibenmaeher-Bedienungsanleitung.pdf,Scheibenmäher - Anbau nur an Maschinen mit B&S-Motor möglich!,2575-1,669
"M220 (P55) - Grundmaschine Briggs & Stratton 675iS Series InStart, 163 ccm - Sichel-Mulchmäher - Anbau nur an Maschinen mit B&S-Motor möglich!",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Sichelmulcher.png,1279,2200-50-IN,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675iS Series InStart Hubraum: 163 ccm Starter: Elektrostarter (Lithium-Ionen-Akku) Akku: 10,8 V / 1,45 Ah Batterieladegerät: Inkl. 12,45 V / 2 A Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,2 / RG 1,1 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,1 / RG 2,2 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Sichelmulcher.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Sichelmulcher-Bedienungsanleitung.pdf,Sichel-Mulchmäher - Anbau nur an Maschinen mit B&S-Motor möglich!,2569-1,395
"M220 (P55) - Grundmaschine HONDA GCV 170, 170 ccm - Sichel-Mulchmäher - Anbau nur an Maschinen mit B&S-Motor möglich!",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Sichelmulcher.png,1190,2200-90,"Motor: Honda 1 Zylinder 4-Takt OHC Motorentyp: GCV 170 Hubraum: 170 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,2 / RG 1,1 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,1 / RG 2,2 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Sichelmulcher.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Sichelmulcher-Bedienungsanleitung.pdf,Sichel-Mulchmäher - Anbau nur an Maschinen mit B&S-Motor möglich!,2569-1,395
Motorschubkarre,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Schubkarren.png,450,2255-1,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675 EXi Series Hubraum: 163 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,5 / RG 1,3 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,3 / RG 2,5 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Motorschubkarre.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Motorschubkarren-Bedienungsanleitung.pdf,,,
"M220 (P55) - Grundmaschine Briggs & Stratton 675EXi Series, 163 ccm - Motorschubkarre",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Schubkarren.png,1090,2200-50,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675 EXi Series Hubraum: 163 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,5 / RG 1,3 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,3 / RG 2,5 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Motorschubkarre.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Motorschubkarren-Bedienungsanleitung.pdf,Motorschubkarre,2255-1,450
"M220 (P55) - Grundmaschine Briggs & Stratton 675iS Series InStart, 163 ccm - Motorschubkarre",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Schubkarren.png,1279,2200-50-IN,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675iS Series InStart Hubraum: 163 ccm Starter: Elektrostarter (Lithium-Ionen-Akku) Akku: 10,8 V / 1,45 Ah Batterieladegerät: Inkl. 12,45 V / 2 A Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,2 / RG 1,1 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,1 / RG 2,2 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Motorschubkarre.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Motorschubkarren-Bedienungsanleitung.pdf,Motorschubkarre,2255-1,450
"M220 (P55) - Grundmaschine HONDA GCV 170, 170 ccm - Motorschubkarre",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Schubkarren.png,1190,2200-90,"Motor: Honda 1 Zylinder 4-Takt OHC Motorentyp: GCV 170 Hubraum: 170 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,2 / RG 1,1 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,1 / RG 2,2 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Motorschubkarre.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Motorschubkarren-Bedienungsanleitung.pdf,Motorschubkarre,2255-1,450
Schneeräumer,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Schneeraeumschild.png,275,2296-85,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675 EXi Series Hubraum: 163 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,5 / RG 1,3 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,3 / RG 2,5 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Schneeraeumschild.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Schneeraeumschild-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Schneeketten-Bedienungsanleitung.pdf,,,
"M220 (P55) - Grundmaschine Briggs & Stratton 675EXi Series, 163 ccm - Schneeräumer",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Schneeraeumschild.png,1090,2200-50,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675 EXi Series Hubraum: 163 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,5 / RG 1,3 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,3 / RG 2,5 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Schneeraeumschild.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Schneeraeumschild-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Schneeketten-Bedienungsanleitung.pdf,Schneeräumer,2296-85,275
"M220 (P55) - Grundmaschine Briggs & Stratton 675iS Series InStart, 163 ccm - Schneeräumer",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Schneeraeumschild.png,1279,2200-50-IN,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675iS Series InStart Hubraum: 163 ccm Starter: Elektrostarter (Lithium-Ionen-Akku) Akku: 10,8 V / 1,45 Ah Batterieladegerät: Inkl. 12,45 V / 2 A Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,2 / RG 1,1 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,1 / RG 2,2 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Schneeraeumschild.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Schneeraeumschild-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Schneeketten-Bedienungsanleitung.pdf,Schneeräumer,2296-85,275
"M220 (P55) - Grundmaschine HONDA GCV 170, 170 ccm - Schneeräumer",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Schneeraeumschild.png,1190,2200-90,"Motor: Honda 1 Zylinder 4-Takt OHC Motorentyp: GCV 170 Hubraum: 170 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,2 / RG 1,1 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,1 / RG 2,2 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Schneeraeumschild.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Schneeraeumschild-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Schneeketten-Bedienungsanleitung.pdf,Schneeräumer,2296-85,275
Set Kehrmaschine inkl. Kombiwalze 88 cm u. Schmutzbehälter,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Kehrmaschine88cm.png,1059,2291-55,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675 EXi Series Hubraum: 163 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,5 / RG 1,3 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,3 / RG 2,5 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Kehrmaschine.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Kehrmaschine-88cm-Bedienungsanleitung.pdf,,,
"M220 (P55) - Grundmaschine Briggs & Stratton 675EXi Series, 163 ccm - Set Kehrmaschine inkl. Kombiwalze 88 cm u. Schmutzbehälter",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-P55-M220-Kehrmaschine88cm.png,1090,2200-50,"Motor: Briggs & Stratton 1 Zylinder 4-Takt Motorentyp: 675 EXi Series Hubraum: 163 ccm Starter: Handstarter Gangschaltung: Zahnradschaltgetriebe im Ölbad Radantrieb: Schneckengetriebe im Ölbad Gänge bei Frontanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 2,5 / RG 1,3 km/h Gänge bei Heckanbaugeräten: 1 Vorwärtsgang, 1 Rückwärtsgang Geschwindigkeit: VG 1,3 / RG 2,5 km/h Kupplung: Keilriemen Holmverstellung: 180° drehbar, für Front- und Heckanbaugeräte Holmseitenverstellung: Links, rechts und gerade aus Holmhöhenverstellung: Stufenlos Rad- und Anbaugeräte- Einzeln am linken schaltung: Handholm zu- bzw. abschaltbar Anbaugeräteaufnahme: eurosystems Stecksystem Anbaugeräteantrieb: Keilriemen Außenspurbreite: 51 cm Bereifung: Ackerstollenbereifung Radgröße: 13 x 5,00 - 6 AS, Rad Ø 34 cm, Radbreite 10 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-M220-P55-Kehrmaschine.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-M220-Kehrmaschine-88cm-Bedienungsanleitung.pdf,Set Kehrmaschine inkl. Kombiwalze 88 cm u. Schmutzbehälter,2291-55,1059
